120473291 SESSION_BEGIN 24
120663174 MOVE 0.4717 0.5594
120663175 DOWN 0.4717 0.5594
120663873 DOWN -0.2375 0.7437
120663974 MOVE -0.2375 0.7506
120663978 DOWN -0.2375 0.7506
120664360 SYNCTIME f90
120665144 DOWN -0.1063 -0.1469
120665191 MOVE -0.0993 -0.1538
120665194 DOWN -0.0993 -0.1538
120665642 DOWN 0.4031 -0.2000
120665725 MOVE 0.4106 -0.2000
120665726 DOWN 0.4106 -0.2000
120666032 DOWN 0.4406 0.4688
120666093 DOWN 0.4406 0.4688
120667444 DOWN -0.2594 0.6656
120667528 DOWN -0.2594 0.6656
120667756 SELECT 2
120667807 MOVE -0.1825 0.6562
120667831 DOWN -0.1825 0.6562
120668510 BEGIN 44
120669506 DOWN -0.2250 -0.4844
120669542 MOVE -0.2283 -0.4743
120669558 MOVE -0.2446 -0.4513
120669567 MOVE -0.2469 -0.4469
120669568 DOWN -0.2469 -0.4469
120670124 DOWN 0.3781 -0.1937
120670210 MOVE 0.3750 -0.1991
120670225 MOVE 0.3750 -0.1926
120670228 DOWN 0.3750 -0.1926
120670622 DOWN 0.4344 0.5813
120670725 MOVE 0.4311 0.5780
120670727 DOWN 0.4311 0.5780
120671284 DOWN -0.2594 0.7719
120671376 MOVE -0.2561 0.7751
120671389 MOVE -0.2469 0.7906
120671389 DOWN -0.2469 0.7906
120672296 DOWN -0.2500 -0.0625
120672342 MOVE -0.2534 -0.0625
120672355 MOVE -0.2531 -0.0594
120672356 DOWN -0.2531 -0.0594
120673217 DOWN -0.1500 0.5906
120673259 MOVE -0.1539 0.5906
120673292 MOVE -0.1531 0.5846
120673299 MOVE -0.1531 0.5844
120673299 DOWN -0.1531 0.5844
120673671 DOWN 0.4437 0.7437
120673744 DOWN 0.4437 0.7437
120674388 DOWN 0.4344 -0.1875
120674443 MOVE 0.4312 -0.1906
120674460 DOWN 0.4312 -0.1906
120674805 SYNCTIME f44
120674896 DOWN -0.1625 -0.0969
120675010 MOVE -0.1529 -0.0809
120675012 DOWN -0.1529 -0.0809
120678311 DOWN 0.3000 0.7719
120678406 DOWN 0.3000 0.7719
120678896 SELECT 3
120678963 MOVE 0.4089 0.7344
120679010 MOVE 0.4060 0.7344
120679013 DOWN 0.4060 0.7344
120679781 BEGIN 80
120680938 DOWN -0.2062 -0.2219
120681033 DOWN -0.2062 -0.2219
120681491 DOWN 0.2656 -0.0906
120681607 DOWN 0.2656 -0.0906
120682077 DOWN -0.1156 0.5562
120682111 MOVE -0.1243 0.5562
120682177 MOVE -0.1150 0.5525
120682181 DOWN -0.1150 0.5525
120682695 DOWN 0.3281 0.8406
120682811 DOWN 0.3281 0.8406
120683814 DOWN -0.1750 -0.1000
120683895 MOVE -0.1750 -0.0967
120683897 DOWN -0.1750 -0.0967
120684693 DOWN 0.3781 -0.0500
120684745 MOVE 0.3844 -0.0585
120684754 MOVE 0.3844 -0.0594
